species,folder_count,folders,image_count,high,medium,low,unreadable,high_pct,medium_pct,low_pct,total_mb,avg_width,avg_height,extensions
眶灯鱼属,1,眶灯鱼属（综合）,300,299,0,1,0,99.7,0.0,0.3,925.4,4205.8,3313.2,.jpg:299; .bmp:1
巨口鱼,1,巨口鱼,269,249,16,4,0,92.6,5.9,1.5,1316.21,5147.3,3485.6,.jpg:269
尾明角灯鱼,1,尾明角灯鱼,146,138,6,2,0,94.5,4.1,1.4,762.44,5352.6,3738.5,.jpg:144; .bmp:2
星衫鱼,1,星衫鱼,126,115,11,0,0,91.3,8.7,0.0,702.78,5334.6,3451.5,.jpg:126
银斧鱼,1,银斧鱼,118,114,3,1,0,96.6,2.5,0.8,592.59,5351.6,3662.2,.jpg:118
巴氏眶灯鱼,1,巴氏眶灯鱼,94,92,0,2,0,97.9,0.0,2.1,388.53,4642.4,3406.7,.jpg:94
单棘豹鲂鮄,1,单棘豹鲂鮄,92,90,0,2,0,97.8,0.0,2.2,917.56,8516.7,5066.2,.jpg:92
蝰鱼,1,蝰鱼,91,89,2,0,0,97.8,2.2,0.0,637.64,6165.3,4065.6,.jpg:91
鮟鱇,1,鮟鱇,83,82,1,0,0,98.8,1.2,0.0,805.95,7623.9,4584.0,.jpg:83
丝球星衫鱼,1,丝球星衫鱼,81,81,0,0,0,100.0,0.0,0.0,484.87,5906.7,4091.1,.jpg:81
亮眶灯鱼,1,亮眶灯鱼,81,81,0,0,0,100.0,0.0,0.0,262.28,4321.2,3318.1,.jpg:81
珍灯鱼,1,珍灯鱼,81,79,1,1,0,97.5,1.2,1.2,340.34,4914.3,3473.0,.jpg:79; .bmp:1; .png:1
短尾大眼鲷,1,短尾大眼鲷,68,64,0,4,0,94.1,0.0,5.9,720.06,8212.7,4621.3,.jpg:66; .bmp:2
瓦氏眶灯鱼,1,瓦氏眶灯鱼,67,65,0,2,0,97.0,0.0,3.0,361.77,5494.7,3545.1,.jpg:65; .bmp:2
串灯鱼,1,串灯鱼,66,61,5,0,0,92.4,7.6,0.0,464.31,6263.2,3946.4,.jpg:66
喀氏眶灯鱼,1,喀氏眶灯鱼,65,63,2,0,0,96.9,3.1,0.0,251.93,4397.4,3387.1,.jpg:65
条带多光鱼,1,条带多光鱼,65,61,0,4,0,93.8,0.0,6.2,376.89,5193.3,3386.6,.jpg:61; .bmp:4
钝吻灯笼鱼,1,钝吻灯笼鱼,64,62,0,2,0,96.9,0.0,3.1,289.09,4487.4,3474.2,.jpg:64
大鳍珍灯鱼,4,2018010 大鳍珍灯鱼（测序） | 2018010大鳍珍灯鱼 | 2018026-027大鳍珍灯鱼 | 大鳍珍灯鱼,63,63,0,0,0,100.0,0.0,0.0,277.22,4964.3,3471.0,.jpg:63
奇棘鱼,1,奇棘鱼,62,58,2,2,0,93.5,3.2,3.2,437.54,6363.8,4001.3,.jpg:62
狗母鱼,1,狗母鱼,62,61,0,1,0,98.4,0.0,1.6,422.17,6702.5,3995.1,.jpg:62
粗鳞灯笼鱼,1,粗鳞灯笼鱼,61,60,0,1,0,98.4,0.0,1.6,299.61,4967.6,3504.4,.jpg:60; .bmp:1
棘茄鱼,1,棘茄鱼,60,40,8,12,0,66.7,13.3,20.0,371.53,5201.2,3298.6,.jpg:58; .bmp:2
光彩标灯鱼,1,光彩标灯鱼,59,59,0,0,0,100.0,0.0,0.0,207.74,4178.8,3173.6,.jpg:59
单棘躄鱼,1,单棘躄鱼,59,59,0,0,0,100.0,0.0,0.0,516.0,8148.3,4652.3,.jpg:59
钻光鱼,1,钻光鱼,58,46,10,2,0,79.3,17.2,3.4,256.46,4889.4,2911.4,.jpg:58
长鳍虹灯鱼,1,长鳍虹灯鱼,54,53,1,0,0,98.1,1.9,0.0,274.25,5564.1,3619.2,.jpg:54
吕氏眶灯鱼,1,吕氏眶灯鱼,53,52,0,1,0,98.1,0.0,1.9,126.5,3725.6,3226.3,.jpg:52; .bmp:1
发光炬灯鱼,1,发光炬灯鱼,49,48,0,1,0,98.0,0.0,2.0,161.97,3843.1,3050.1,.jpg:49
千年笛鲷,1,千年笛鲷,48,48,0,0,0,100.0,0.0,0.0,128.77,3905,3146.3,.jpg:48
宽吻鲀,1,宽吻鲀,46,40,0,6,0,87.0,0.0,13.0,407.47,7672.8,4317.1,.jpg:46
弱蜥鱼,1,弱蜥鱼,45,45,0,0,0,100.0,0.0,0.0,291.38,5949.2,3932.8,.jpg:45
条带眶灯鱼,1,条带眶灯鱼,45,45,0,0,0,100.0,0.0,0.0,187.53,4805.3,3395.6,.jpg:45
闪光灯笼鱼,1,闪光灯笼鱼,45,45,0,0,0,100.0,0.0,0.0,201.34,5053.2,3540.3,.jpg:45
近壮灯鱼,1,近壮灯鱼,44,44,0,0,0,100.0,0.0,0.0,202.78,5121.1,3531.1,.jpg:44
栉刺灯笼鱼,1,栉刺灯笼鱼,43,43,0,0,0,100.0,0.0,0.0,181.2,4795.2,3418.8,.jpg:43
柔骨鱼,1,柔骨鱼,42,38,4,0,0,90.5,9.5,0.0,203.36,4378.6,3553.1,.jpg:42
银眼鲷,1,银眼鲷,41,41,0,0,0,100.0,0.0,0.0,258.79,5497.0,3701.9,.jpg:41
乌鲂,1,乌鲂,40,40,0,0,0,100.0,0.0,0.0,328.91,6789.6,4564.4,.jpg:40
印度无齿鲳,1,印度无齿鲳,40,36,2,2,0,90.0,5.0,5.0,334.6,7502.6,4342.4,.jpg:40
多齿蛇鲻,1,多齿蛇鲻,40,38,0,2,0,95.0,0.0,5.0,368.59,8316.8,4671.6,.jpg:40
低褶胸鱼,1,低褶胸鱼,39,32,6,1,0,82.1,15.4,2.6,185.79,5039.5,3710.1,.jpg:39
华丽眶灯鱼,1,华丽眶灯鱼,39,39,0,0,0,100.0,0.0,0.0,103.67,3772.3,3071.2,.jpg:39
岩鲈,1,岩鲈,39,35,4,0,0,89.7,10.3,0.0,152.71,4497.0,3309.2,.jpg:39
天竺鲷,1,天竺鲷,38,31,2,5,0,81.6,5.3,13.2,131.89,4292.5,2843.6,.jpg:36; .jpeg:2
太平洋方尾鲳,1,太平洋方尾鲳,37,36,0,0,1,97.3,0.0,0.0,161.73,4832,3312,.jpg:37
钝吻缘光鱼,1,钝吻缘光鱼,37,37,0,0,0,100.0,0.0,0.0,167.14,4959.1,3473.3,.jpg:37
何氏鳐,1,何氏鳐,36,32,0,4,0,88.9,0.0,11.1,322.49,7542.1,4297,.jpg:36
