species,top_folder,relative_path,extension,file_size_mb,width,height,megapixels,format,mode,frames,quality,quality_basis,error
(root),(root),整理统计图表.png,.png,0.107,2084,1476,3.076,PNG,RGBA,1,low,low resolution or very small file,
2.1莫名,2.1莫名,2.1莫名\2015039-042 莫名.jpg,.jpg,1.138,3024,4032,12.193,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2015039-042 莫名_1.jpg,.jpg,1.138,3024,4032,12.193,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2015043-045 莫名.jpg,.jpg,1.173,4032,3024,12.193,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2015043-045 莫名_1.jpg,.jpg,1.173,4032,3024,12.193,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2015050莫名.jpg,.jpg,1.111,4032,3024,12.193,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2015050莫名_1.jpg,.jpg,1.111,4032,3024,12.193,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018039莫名problematicus.jpg,.jpg,2.521,3968,2976,11.809,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018039莫名problematicus_1.jpg,.jpg,2.521,3968,2976,11.809,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018043-44 莫名problematicus.jpg,.jpg,5.135,3968,2976,11.809,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018043-44 莫名problematicus_1.jpg,.jpg,5.135,3968,2976,11.809,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018047莫名problematicus.jpg,.jpg,2.115,2976,3968,11.809,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018047莫名problematicus_1.jpg,.jpg,2.115,2976,3968,11.809,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018082 莫名problematicus.jpg,.jpg,2.109,2976,3968,11.809,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018082 莫名problematicus_1.jpg,.jpg,2.109,2976,3968,11.809,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018100-101 莫名problematicus.jpg,.jpg,3.296,4160,3120,12.979,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
2.1莫名,2.1莫名,2.1莫名\2018100-101 莫名problematicus_1.jpg,.jpg,3.296,4160,3120,12.979,JPEG,RGB,1,high,">=3MP, min side >=1200px, file >=0.5MB",
I南海采集,I南海采集06_1_潮间带FeiBoy_来自小红书网页版,I南海采集06_1_潮间带FeiBoy_来自小红书网页版\I南海采集06_1_潮间带FeiBoy_来自小红书网页版 (1).jpg,.jpg,0.378,1440,1080,1.555,JPEG,RGB,1,medium,">=1MP, min side >=700px, file >=0.15MB",
I南海采集,I南海采集06_1_潮间带FeiBoy_来自小红书网页版,I南海采集06_1_潮间带FeiBoy_来自小红书网页版\I南海采集06_1_潮间带FeiBoy_来自小红书网页版 (10).jpg,.jpg,0.299,1440,1080,1.555,JPEG,RGB,1,medium,">=1MP, min side >=700px, file >=0.15MB",
I南海采集,I南海采集06_1_潮间带FeiBoy_来自小红书网页版,I南海采集06_1_潮间带FeiBoy_来自小红书网页版\I南海采集06_1_潮间带FeiBoy_来自小红书网页版 (11).jpg,.jpg,0.373,1080,1440,1.555,JPEG,RGB,1,medium,">=1MP, min side >=700px, file >=0.15MB",
I南海采集,I南海采集06_1_潮间带FeiBoy_来自小红书网页版,I南海采集06_1_潮间带FeiBoy_来自小红书网页版\I南海采集06_1_潮间带FeiBoy_来自小红书网页版 (12).jpg,.jpg,0.271,1440,1080,1.555,JPEG,RGB,1,medium,">=1MP, min side >=700px, file >=0.15MB",
I南海采集,I南海采集06_1_潮间带FeiBoy_来自小红书网页版,I南海采集06_1_潮间带FeiBoy_来自小红书网页版\I南海采集06_1_潮间带FeiBoy_来自小红书网页版 (13).jpg,.jpg,0.454,1440,1080,1.555,JPEG,RGB,1,medium,">=1MP, min side >=700px, file >=0.15MB",
